"Table with row headers in column A, and column headers in rows 4 through 6. Leading dots indicate subparts",,,,,,,,,,,,,,
Table 2.5,,,,,,,,,,,,,,
Educational Attainment of the Foreign-Born Population 25 Years and Over by Sex and Year of Entry: 2019,,,,,,,,,,,,,,
Sex and educational attainment1,Total,,Year of entry,,,,,,,,,,,
,,,2010 or later2,,2000-2009,,1990-1999,,1980-1989,,1970-1979,,Before 1970,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
.Bachelor's degree or more," 7,094 ",34.2," 1,974 ",47.2," 1,746 ",32.4," 1,572 ",31.6, 919 ,29.8, 571 ,32.0, 312 ,23.3
,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                ,                                  ,                                
.Less than master's degree," 18,029 ",86.9," 3,376 ",80.8," 4,737 ",88.0," 4,361 ",87.8," 2,770 ",89.8," 1,557 ",87.2," 1,228 ",91.7
.Master's degree or more," 2,710 ",13.1, 802 ,19.2, 646 ,12.0, 607 ,12.2, 315 ,10.2, 228 ,12.8, 111 ,8.3
Footnotes:,,,,,,,,,,,,,,
1 Educational attainment is measured as highest level of school completed or degree received.,,,,,,,,,,,,,,
2 The category '2010 or later' includes 2010-2019.,,,,,,,,,,,,,,
"Note: Numbers in thousands. Universe is the foreign-born civilian noninstitutionalized population of the United States, plus Armed Forces members who live in housing units - off post or on post - with at least one other civilian adult.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release. CBDRB-FY20-027.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2019.",,,,,,,,,,,,,,
Internet release date: April 2020,,,,,,,,,,,,,,
