Region and country of birth,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Russia,"7,944","9,969","9,753","9,079","8,799","9,297","8,918","8,621","9,822","7,967"
Rwanda,520,592,540,555,732,"1,357","1,394","1,620","1,509","1,084"
Saint Kitts and Nevis,350,311,259,263,222,250,238,250,238,106
Saint Lucia,785,919,853,844,739,777,777,696,726,463
Saint Vincent and the Grenadines,468,503,529,448,415,422,361,333,403,196
Samoa,267,238,237,239,207,219,194,179,195,154
Sao Tome and Principe,9,12,6,5,6,12,10,9,12,4
Saudi Arabia,"1,396","1,343","1,463","1,696","1,744","2,117","2,135","2,100","2,514","1,854"
Senegal,"1,424","1,615","1,340","1,273","1,244","1,533","1,470","1,420","1,665",999
Serbia,244,704,866,"1,143","1,278","1,351","1,410","1,217","1,532","1,077"
Serbia and Montenegro (former),"1,398",801,653,267,232,202,144,132,139,149
Seychelles,15,7,6,7,11,16,10,6,6,4
Sierra Leone,"1,985","1,688","1,651","1,740","1,599","1,535","2,058","1,527","1,443",713
Singapore,690,712,835,779,781,812,818,801,818,807
Sint Maarten,-,-,-,45,45,42,35,27,37,21
Slovakia,594,528,507,460,424,483,388,370,422,343
Slovenia,69,86,62,78,107,119,108,95,119,76
Somalia,"4,451","5,204","3,764","5,190","6,796","6,958","7,404","7,557","3,752","2,024"
South Africa,"2,649","2,781","2,629","2,676","2,907","3,023","2,912","3,010","3,174","2,733"
South Sudan,-,17,59,74,127,124,160,185,191,117
Soviet Union (former),"3,687","1,296","1,264","1,136","1,022","1,042",939,"1,022","1,227","1,070"
Spain,"1,890","1,842","2,480","2,928","3,303","3,519","3,045","2,841","3,115","2,620"
Sri Lanka,"2,053","1,994","1,847","1,767","1,763","1,913","1,627","1,594","1,689","1,463"
Sudan,"2,628","2,471","1,945","2,442","3,580","3,159","3,515","3,658","2,949","1,867"
Suriname,196,187,178,158,134,156,136,182,172,117
Sweden,979,968,"1,106",954,"1,066","1,144",950,889,"1,018",835
Switzerland,615,635,697,656,640,743,565,570,595,592
Syria,"2,785","3,014","3,366","3,540","3,840","4,800","5,877","14,686","5,967","3,176"
Taiwan,"6,154","5,331","5,385","4,697","4,888","5,120","4,858","5,079","5,801","4,759"
Tajikistan,382,411,550,516,595,593,652,893,"1,158",523
Tanzania,"1,427","1,516",837,774,799,788,"1,415","3,186","3,142","2,312"
Thailand,"9,962","9,459","7,583","6,197","7,502","7,039","6,311","5,556","5,551","4,177"
Togo,"1,506","1,756","1,257","1,612","1,547","1,938","1,572","1,534","1,546","1,276"
Tonga,408,276,348,320,327,283,262,225,256,202
Trinidad and Tobago,"5,023","5,214","4,724","3,988","3,212","3,469","3,100","2,758","3,150","1,718"
Tunisia,440,422,445,429,518,518,535,517,510,463
Turkey,"4,403","4,162","4,144","3,834","4,201","4,469","4,844","5,585","5,713","4,359"
Turkmenistan,260,223,210,254,226,235,251,286,330,250
Turks and Caicos Islands,33,30,50,40,38,39,35,41,56,33
Uganda,"1,239","1,340","1,350","1,409","1,664","1,649","1,898","2,412","2,560","1,802"
Ukraine,"8,292","7,642","8,193","7,752","7,987","10,422","10,135","11,879","11,762","9,886"
United Arab Emirates,707,854,910,"1,039","1,193","1,370","1,314","1,379","1,586","1,251"
United Kingdom,"11,572","12,014","12,984","12,225","12,592","12,673","10,948","9,908","11,337","9,655"
United States,269,279,319,358,370,468,409,306,262,187
Uruguay,"1,553","1,374","1,352","1,128","1,078",972,"1,001",960,"1,109",699
Uzbekistan,"5,056","4,726","4,382","5,194","3,977","4,359","4,095","4,612","2,550","1,347"
Venezuela,"9,183","9,387","9,572","8,427","9,144","10,772","11,809","11,762","15,720","12,136"
Vietnam,"34,157","28,304","27,101","30,283","30,832","41,451","38,231","33,834","39,712","29,995"
"Virgin Islands, British",37,39,45,56,38,40,25,37,58,29
Yemen,"3,361","2,620","3,532","3,492","3,194","13,040","6,029","1,885","3,717","5,908"
Zambia,652,643,505,441,460,487,537,477,511,401
Zimbabwe,"1,016",914,924,797,779,815,810,749,758,674
All other countries1,36,34,40,48,48,48,44,41,40,35
Unknown,"1,245","1,206","3,263","1,150",677,"1,724","1,468","1,151","1,144",633
#NAME?,,,,,,,,,,
1 Includes countries with fewer than 10 lawful permanent residents per year.,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,
